Accession	Description
A0A024AGI8	Genome polyprotein OS=Louping ill virus PE=4 SV=1 - [A0A024AGI8_LIV]
A0A059T9V6	Kappa casein (Fragment) OS=Ovis aries GN=CSN3 PE=4 SV=1 - [A0A059T9V6_SHEEP]
A0A060L067	Heat shock factor 5-like protein OS=Bubalus bubalis PE=2 SV=1 - [A0A060L067_BUBBU]
A0A088QFM6	Heat shock protein 90kDa alpha OS=Bos mutus grunniens PE=2 SV=1 - [A0A088QFM6_BOSMU]
A0A089FX90	Taste receptor type 2 (Fragment) OS=Bison bonasus GN=T2R10 PE=3 SV=1 - [A0A089FX90_BISBO]
A0A097P9M4	Long-chain fatty acid-CoA ligase 1 OS=Bubalus bubalis GN=ACSL1 PE=2 SV=1 - [A0A097P9M4_BUBBU]
A0A0A7UX81	Cathelicidin 1 (Fragment) OS=Bubalus bubalis GN=CATHL1 PE=4 SV=1 - [A0A0A7UX81_BUBBU]
A0A0B5D7M9	V protein OS=Peste-des-petits-ruminants virus PE=4 SV=1 - [A0A0B5D7M9_PPRV]
A0A0D5CBR5	Complement component 3 OS=Bubalus bubalis GN=C3 PE=2 SV=1 - [A0A0D5CBR5_BUBBU]
A0A0F6N1T4	Uncharacterized protein OS=Orf virus PE=4 SV=1 - [A0A0F6N1T4_ORFV]
A0A0F6N1V9	Late transcription factor VLTF-1 OS=Orf virus PE=4 SV=1 - [A0A0F6N1V9_ORFV]
A0A0F6N3A9	Ankyrin/F-box protein OS=Orf virus PE=4 SV=1 - [A0A0F6N3A9_ORFV]
A0FH35	L-lactate dehydrogenase OS=Bos mutus grunniens PE=2 SV=1 - [A0FH35_BOSMU]
A0FI82	Lipoprotein lipase OS=Capra hircus GN=LPL PE=2 SV=1 - [A0FI82_CAPHI]
A0JN91	Exostoses (Multiple) 2 OS=Bos taurus GN=EXT2 PE=2 SV=1 - [A0JN91_BOVIN]
A0JNB0	Tyrosine-protein kinase Fyn OS=Bos taurus GN=FYN PE=2 SV=1 - [FYN_BOVIN]
A0JND6	Terpene cyclase/mutase family member OS=Bos taurus GN=LSS PE=2 SV=1 - [A0JND6_BOVIN]
A0SWQ7	Kappa casein (Fragment) OS=Capra hircus GN=CSN3 PE=4 SV=1 - [A0SWQ7_CAPHI]
